title,WKT,active_members,
A bona hora (Ecoxarxa del Bages),"Bages, Catalunya, Spain",436,
Ecoxarxa del Maresme,"Mataró, El Maresme, Spain",83,
Xarxa de Ciència Tècnica i Tecnologia,"Maresme, Peninsula Ibérica, Spain",20,
Ecoxarxa Baix Llobregat,"Collbató, Baix Llobregat, Spain",23,
alcalco,"Alcalà de Xivert, Castelló, Spain",3,
ECO - Xarxa ECO de Tarragona,"Camp de Tarragona, Catalunya, Spain",691,
Cooperativa Integral Catalana,"Catalunya, Catalunya, Spain",2847,
CIC Renda Bàsica,"Barcelona, Catalunya, Spain",183,
EcoRed Milaguas EsTeruel,"Sur-Este de Teruel, Teruel, Spain",129,
Ecoxarxa Garrotxa,"Garrotxa, Catalunya, Spain",189,
Herri Kooperatiba,"Iruña, Nafarroa, Spain",74,
Ecoxarxa Empordà,"Empordà, Girona, Spain",194,
Ramificats,"Petrer-Elda, Alacant, Spain",17,
Ecoxarxa del Vallès Occidental,"Terrassa, Catalunya, Spain",116,
De Gota en Gota,"Baix Montseny, Vallès Oriental, Spain",39,
Ecoxarxa Pirineu,"Ribagorça, Aran-Pont de Suert-Pobla-Sort-Tremp-Vielha, Spain",,ral
Casa Colorida,"Nigrán, Galiza, Spain",10,
"Gust Intercanvi ""Con sumo gusto""","Valencia, Valencia, Spain",6,
Ecoxarxa Girona,"Girona, Girona, Spain",265,
Nucli autogestio Vall de Ribes,"Ribes de Freser, Girona, Spain",14,
Sant Joan de les Abadesses,"Sant Joan de les Abadesses, Ripollès, Spain",13,
Ecoxarxa de Poble nou,"Barcelona, Barcelonès, Spain",20,
Xarxa d'Economia Solidària de Catalunya,"Barcelona, Catalunya, Spain",11,
EcoRed Bierzo,"Bierzo, LEÓN, Spain",91,
Grupo de intercambio en Estraperlo,"Albacete, La Mancha, Spain",26,
Intercanvi en Rizoma,"Valldoreix, Collserola Nord, Spain",17,
Ecoxarxa Roure blau,"Cervera, Lleida, Spain",15,
